id,created_at,text,topic,action,retweet_count,favorite_count
9.24E+17,2017-10-26T12:10:14Z,"Now that youâ€™ve got your â€œElevenâ€ costume perfected, why not use Alexa to control the alphabet lights?â€¦ https://t.co/AeYzZ38WxP",Digital_Lifestyle,IoT,10,35
9.21E+17,2017-10-19T23:47:52Z,RT @ultimateears: Introducing #BLAST and #MEGABLAST: our most *ultimate* in sound and hands-free voice control w/ Amazon Alexa. Hearing isâ€¦,Digital_Lifestyle,IoT,10,0
9.20E+17,2017-10-17T23:52:29Z,ðŸ—£ï¸ðŸš— Shop Garmin Speak with Alexa: https://t.co/yySox1gw5G https://t.co/yliKQbz6LU,Promotional,Purchase,14,42
9.20E+17,2017-10-17T12:10:22Z,Alexa's on @Jeopardy! and Jeopardy!'s on Alexa. Go figure. https://t.co/Nd6lt2VAFh https://t.co/tGwQMMr9gB,Entertainment,Basic,18,67
9.15E+17,2017-10-02T03:52:53Z,RT @amazonfiretv: Don't forget a coaster while you're watching the return of #CurbYourEnthusiasm tonight on @HBO. #RespectWood #AskAlexa htâ€¦,Entertainment,Trivial,9,0
9.14E+17,2017-09-29T12:09:01Z,"Itâ€™s #NationalCoffeeDay â˜•ï¸! Celebrate with the new @DunkinDonuts coffee quiz skill for Alexa. Just ask, ""Alexa, tesâ€¦ https://t.co/QLieFgKL4P",Promotional,Trivial,15,43
9.11E+17,2017-09-20T16:14:22Z,RT @amazonfiretv: Be the hero of your living room with Amazon Fire TV and Alexa. #AskAlexa https://t.co/M62adPDhbA,Digital_Lifestyle,IoT,23,0
9.10E+17,2017-09-19T12:09:21Z,"Did you know, if youâ€™re a Prime member, you have access to over 2 million songs on Alexa with Prime Music? Ask by gâ€¦ https://t.co/HpNHG1gXyO",Promotional,Streaming,33,78
9.10E+17,2017-09-18T15:13:46Z,RT @GELighting: Alexa in a New Light: GEâ€™s Industry-First Sol Lamp Now Available. Get yours here: https://t.co/kpj0okz0HL @AmazonEcho #Smarâ€¦,Digital_Lifestyle,IoT,50,0
9.10E+17,2017-09-18T12:00:01Z,"Doggos need books too! ðŸ¾ðŸ“š Ask, ""Alexa, play A Dog's Purpose from Audible."" Learn more: https://t.co/gGKvbERtLQâ€¦ https://t.co/slf205iXWf",Entertainment,Trivial,27,33
9.08E+17,2017-09-12T12:09:01Z,"ðŸˆ Save 40% on #NFL hats, just ask, ""Alexa, what are your NFL deals?"" ðŸˆ https://t.co/ZYDUPfhAJl",Promotional,Purchase,9,17
9.05E+17,2017-09-06T12:09:01Z,"Need an extra dose of cute to get through the day? Just ask â€œAlexa, open Pug Bombâ€ for a surprise. Find more skillsâ€¦ https://t.co/3qwoMUDyHW",Entertainment,Trivial,11,34
9.03E+17,2017-08-31T12:08:01Z,"Just ask â€œAlexa, open Translatedâ€ and translate from English to 36 different languages. Find more skills hereâ€¦ https://t.co/JcQtawvjlG",Productivity,Customization,52,109
9.00E+17,2017-08-23T18:11:24Z,RT @amazonmusic: Get 3 months of Amazon Music Unlimited FREE when you buy the all-new Alexa enabled #HTCU11 by @HTCUSA Learn more: https://â€¦,Entertainment,IoT,11,0
8.99E+17,2017-08-18T12:13:50Z,"""Alexa, what causes a solar eclipse? Alexa, how hot is the sun? Alexa, what's the diameter of the sun? "" So many quâ€¦ https://t.co/iZP3tyVv57",Entertainment,Trivial,32,80
8.98E+17,2017-08-16T12:08:01Z,Introducing the first smartphone with hands-free Amazon Alexa! See how @CNET uses Alexa with the new HTC U11:â€¦ https://t.co/QtR0O3wdxC,Digital_Lifestyle,IoT,71,185
8.97E+17,2017-08-15T12:08:01Z,"#NationalRelaxationDay with Alexa! Sit back, unwind, and just ask ""Alexa, help me relax"" to see what Alexa can do. https://t.co/Joi8HVUuLo",Productivity,Trivial,16,70
8.95E+17,2017-08-09T12:08:26Z,"For relaxation on repeat, just say, ""Alexa, ask Thunderstorm Sounds to loop."" ðŸ˜ŒðŸ” https://t.co/XzApkewG3A",Entertainment,Streaming,77,236
8.95E+17,2017-08-08T12:08:01Z,"Whatâ€™s cuter than a kitten ðŸ±? Ask â€œAlexa, open Meow!â€ for a fun surprise. Find more skills here:â€¦ https://t.co/u6zFAz8OiT",Entertainment,Trivial,21,57
8.94E+17,2017-08-04T18:27:48Z,Meet Alexa Episode 3: Alexa and @AmazonFireTV team up to help Frank watch his favorite comedies. https://t.co/0QMTQ5XEaA,Entertainment,Trivial,13,31
8.93E+17,2017-08-04T00:06:01Z,"ðŸŽµ New music activities are available to soundtrack your day. Just ask, ""Alexa play music for cooking,"" and hundredsâ€¦ https://t.co/qo3atqilAJ",Entertainment,Streaming,20,48
8.92E+17,2017-07-31T12:08:01Z,"Keep your brain sharp and discover interesting topics. Just say ""Alexa, open Curiosity"". Find more skills here:â€¦ https://t.co/PkF3ns64JN",Productivity,Trivial,12,46
8.91E+17,2017-07-28T20:23:06Z,"ðŸ”Š on! Make every week Shark Week with #Sharknado5 celebrity alarms. ðŸ¦ˆ To set up, select alarms in your Alexa app anâ€¦ https://t.co/i6pEICCU3h",Entertainment,Basic,14,29
8.91E+17,2017-07-27T12:00:01Z,"Find out what happened on this day in history. Just say, ""Alexa, open This Day in History."" Find more skills here:â€¦ https://t.co/B77OnR69bM",Entertainment,Trivial,21,60
